Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,m,PACK,Full Set,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,m,PACK,Tshirt Only,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,l,PACK,Full Set,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,l,PACK,Tshirt Only,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,xl,PACK,Full Set,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,xl,PACK,Tshirt Only,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,xxxl,PACK,Full Set,"",,,Shop location,,0,0,0,5,5,
t-shirt-suit-two-piece-set,T-Shirt Suit Two-Piece Set,Color,white,Size,xxxl,PACK,Tshirt Only,"",,,Shop location,,0,0,0,5,5,
leather-bracelet,Leather Bracelet,Color,brown,,,,,"",,,Shop location,,0,0,0,9,9,
leather-bracelet,Leather Bracelet,Color,white,,,,,"",,,Shop location,,0,0,0,9,9,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,beige,Size,small,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,beige,Size,m,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,beige,Size,l,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,beige,Size,xl,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,beige,Size,xxl,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,black,Size,small,,,"",,,Shop location,,0,0,0,5,5,
tommy-hilfiger-complete-tracksuit,Tommy Hilfiger Complete Tracksuit.,Color,black,Size,m,,,"",,,Shop location,,0,0,0,5,5,
